10g: links: 371g; rechts: 127g, 127g, 127g
5210g: naechtes Ergebnis: 5207g: links: /; rechts: 2000g, 2000g, 371g, 371g, 42g, 42g, 127g, 127g, 127g
5220g: naechtes Ergebnis: 5216g: links: 371g, 371g, 42g; rechts: 2000g, 2000g, 2000g
5230g: links: 127g, 127g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g
5240g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 127g
5250g: naechtes Ergebnis: 5249g: links: /; rechts: 2000g, 2000g, 371g, 371g, 42g, 42g, 42g, 127g, 127g, 127g
5260g: naechtes Ergebnis: 5259g: links: 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 127g
5270g: naechtes Ergebnis: 5268g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 127g, 127g, 127g
5280g: naechtes Ergebnis: 5282g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 42g, 127g
5290g: links: 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 42g
5300g: links: 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g
5310g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 127g, 127g, 127g
5320g: naechtes Ergebnis: 5324g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 42g, 42g, 127g
5330g: naechtes Ergebnis: 5332g: links: 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 42g, 42g
5340g: naechtes Ergebnis: 5342g: links: 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 42g
5350g: naechtes Ergebnis: 5351g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
5360g: naechtes Ergebnis: 5358g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g
5370g: naechtes Ergebnis: 5368g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 371g, 371g, 371g, 127g, 127g, 127g
5380g: naechtes Ergebnis: 5376g: links: 371g, 42g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g
5390g: links: 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g
5400g: links: 42g, 42g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g
5410g: links: 42g, 42g; rechts: 2000g, 2000g, 371g, 371g, 371g, 127g, 127g, 127g
5420g: naechtes Ergebnis: 5418g: links: 371g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g
5430g: naechtes Ergebnis: 5428g: links: 371g, 371g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 127g, 127g
5440g: naechtes Ergebnis: 5441g: links: 127g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 42g, 42g
5450g: naechtes Ergebnis: 5451g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 42g, 42g, 127g, 127g
5460g: links: 371g, 42g, 127g; rechts: 2000g, 2000g, 2000g
5470g: links: 371g, 371g, 42g; rechts: 2000g, 2000g, 2000g, 127g, 127g
5480g: naechtes Ergebnis: 5478g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
5490g: naechtes Ergebnis: 5493g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 42g, 42g, 42g, 127g, 127g
5500g: naechtes Ergebnis: 5501g: links: 371g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 42g, 42g, 42g
5510g: naechtes Ergebnis: 5511g: links: 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 42g, 42g, 127g
5520g: links: 371g, 371g, 371g, 371g, 371g, 371g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
5530g: naechtes Ergebnis: 5527g: links: 42g, 42g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 127g
5540g: naechtes Ergebnis: 5536g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 42g, 127g, 127g, 127g
5550g: naechtes Ergebnis: 5554g: links: 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 127g, 127g
5560g: naechtes Ergebnis: 5559g: links: 42g, 127g, 127g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g
5570g: naechtes Ergebnis: 5569g: links: 42g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 127g
5580g: naechtes Ergebnis: 5578g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g
5590g: naechtes Ergebnis: 5587g: links: 371g, 42g; rechts: 2000g, 2000g, 2000g
5600g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
5610g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
5620g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 42g, 42g, 42g, 127g, 127g, 127g
5630g: links: 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 127g
5640g: naechtes Ergebnis: 5639g: links: 371g, 371g; rechts: 2000g, 2000g, 2000g, 127g, 127g, 127g
5650g: naechtes Ergebnis: 5648g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g
5660g: naechtes Ergebnis: 5661g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 42g
5670g: naechtes Ergebnis: 5671g: links: 371g; rechts: 2000g, 2000g, 2000g, 42g
5680g: links: 371g, 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
5690g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g
5700g: naechtes Ergebnis: 5703g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 42g, 42g
5710g: naechtes Ergebnis: 5713g: links: 371g; rechts: 2000g, 2000g, 2000g, 42g, 42g
5720g: naechtes Ergebnis: 5719g: links: 42g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g
5730g: naechtes Ergebnis: 5729g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g
5740g: naechtes Ergebnis: 5739g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 127g, 127g, 127g
5750g: naechtes Ergebnis: 5747g: links: 42g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g
5760g: naechtes Ergebnis: 5761g: links: 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g
5770g: links: 127g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 42g
5780g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 42g, 127g, 127g
5790g: naechtes Ergebnis: 5789g: links: 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g
5800g: naechtes Ergebnis: 5799g: links: 371g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 127g, 127g
5810g: naechtes Ergebnis: 5812g: links: 127g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 42g, 42g
5820g: naechtes Ergebnis: 5822g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g
5830g: links: 127g, 127g; rechts: 2000g, 2000g, 2000g, 42g, 42g
5840g: links: 371g; rechts: 2000g, 2000g, 2000g, 42g, 42g, 127g
5850g: naechtes Ergebnis: 5849g: links: 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
5860g: naechtes Ergebnis: 5859g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 127g
5870g: naechtes Ergebnis: 5872g: links: 127g, 127g; rechts: 2000g, 2000g, 2000g, 42g, 42g, 42g
5880g: naechtes Ergebnis: 5882g: links: 371g; rechts: 2000g, 2000g, 2000g, 42g, 42g, 42g, 127g
5890g: links: 371g, 371g, 371g, 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g
5900g: links: 371g, 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g
5910g: naechtes Ergebnis: 5907g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 42g, 127g, 127g, 127g
5920g: naechtes Ergebnis: 5916g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g
5930g: links: 42g, 127g, 127g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g
5940g: links: 42g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 127g
5950g: naechtes Ergebnis: 5949g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g
5960g: naechtes Ergebnis: 5958g: links: 42g; rechts: 2000g, 2000g, 2000g
5970g: naechtes Ergebnis: 5971g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
5980g: naechtes Ergebnis: 5981g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
5990g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 371g
6000g: links: /; rechts: 2000g, 2000g, 2000g
6010g: links: 371g; rechts: 2000g, 2000g, 2000g, 127g, 127g, 127g
6020g: naechtes Ergebnis: 6019g: links: 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g
6030g: naechtes Ergebnis: 6029g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 127g, 127g, 127g
6040g: naechtes Ergebnis: 6042g: links: /; rechts: 2000g, 2000g, 2000g, 42g
6050g: naechtes Ergebnis: 6051g: links: 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
6060g: links: 371g, 371g, 371g, 371g, 371g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 42g
6070g: links: 371g, 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 127g, 127g
6080g: naechtes Ergebnis: 6084g: links: /; rechts: 2000g, 2000g, 2000g, 42g, 42g
6090g: naechtes Ergebnis: 6093g: links: 371g, 371g, 371g, 371g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
6100g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g
6110g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 127g, 127g, 127g
6120g: naechtes Ergebnis: 6118g: links: 42g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 371g
6130g: naechtes Ergebnis: 6128g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 127g, 127g
6140g: naechtes Ergebnis: 6141g: links: 127g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 42g
6150g: naechtes Ergebnis: 6151g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g
6160g: links: 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 371g
6170g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 127g, 127g
6180g: naechtes Ergebnis: 6178g: links: 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
6190g: naechtes Ergebnis: 6188g: links: 371g, 371g, 371g, 371g, 371g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 127g
6200g: naechtes Ergebnis: 6201g: links: 127g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 42g, 42g
6210g: naechtes Ergebnis: 6211g: links: /; rechts: 2000g, 2000g, 2000g, 42g, 42g, 127g
6220g: links: 371g, 371g, 371g, 371g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
6230g: links: 371g, 371g, 371g, 371g, 371g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 127g
6240g: naechtes Ergebnis: 6239g: links: 371g, 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 127g, 127g, 127g
6250g: naechtes Ergebnis: 6253g: links: /; rechts: 2000g, 2000g, 2000g, 42g, 42g, 42g, 127g
6260g: naechtes Ergebnis: 6261g: links: 371g, 371g, 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g
6270g: naechtes Ergebnis: 6269g: links: 42g, 42g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 127g
6280g: naechtes Ergebnis: 6281g: links: 371g, 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g, 127g, 127g, 127g
6290g: naechtes Ergebnis: 6287g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g
6300g: naechtes Ergebnis: 6297g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 127g, 127g, 127g
6310g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g
6320g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g
6330g: naechtes Ergebnis: 6329g: links: 42g; rechts: 2000g, 2000g, 2000g, 371g
6340g: naechtes Ergebnis: 6339g: links: 42g; rechts: 2000g, 2000g, 2000g, 127g, 127g, 127g
6350g: naechtes Ergebnis: 6352g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
6360g: naechtes Ergebnis: 6361g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g
6370g: links: 127g; rechts: 2000g, 2000g, 2000g, 371g, 42g, 42g, 42g
6380g: links: /; rechts: 2000g, 2000g, 2000g, 42g, 42g, 42g, 127g, 127g
6390g: links: 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g
6400g: links: 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 127g, 127g, 127g
6410g: naechtes Ergebnis: 6413g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 42g
6420g: naechtes Ergebnis: 6422g: links: 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
6430g: naechtes Ergebnis: 6431g: links: 371g, 371g, 371g, 371g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 42g
6440g: naechtes Ergebnis: 6441g: links: 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 127g, 127g
6450g: naechtes Ergebnis: 6446g: links: 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g
6460g: naechtes Ergebnis: 6456g: links: 42g; rechts: 2000g, 2000g, 2000g, 371g, 127g
6470g: naechtes Ergebnis: 6473g: links: 371g, 371g, 371g, 371g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g
6480g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 127g, 127g
6490g: naechtes Ergebnis: 6489g: links: 42g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g
6500g: naechtes Ergebnis: 6499g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g, 127g, 127g
6510g: naechtes Ergebnis: 6507g: links: /; rechts: 2000g, 2000g, 2000g, 42g, 42g, 42g, 127g, 127g, 127g
6520g: naechtes Ergebnis: 6522g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g
6530g: links: 127g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 42g
6540g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 42g, 127g
6550g: naechtes Ergebnis: 6549g: links: 371g, 371g, 371g, 42g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
6560g: naechtes Ergebnis: 6559g: links: 371g, 371g, 371g, 371g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 127g
6570g: naechtes Ergebnis: 6568g: links: 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 127g, 127g, 127g
6580g: naechtes Ergebnis: 6582g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 42g, 42g, 127g
6590g: links: 371g, 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g
6600g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g
6610g: links: 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 127g, 127g, 127g
6620g: naechtes Ergebnis: 6616g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g
6630g: naechtes Ergebnis: 6632g: links: 371g, 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g
6640g: naechtes Ergebnis: 6642g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g
6650g: naechtes Ergebnis: 6649g: links: /; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g, 127g
6660g: naechtes Ergebnis: 6658g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g
6670g: naechtes Ergebnis: 6668g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g, 127g, 127g, 127g
6680g: naechtes Ergebnis: 6676g: links: 371g, 371g, 371g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
6690g: links: 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g
6700g: links: 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g
6710g: links: 42g; rechts: 2000g, 2000g, 2000g, 371g, 127g, 127g, 127g
6720g: naechtes Ergebnis: 6718g: links: 371g, 371g, 371g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
6730g: naechtes Ergebnis: 6728g: links: 371g, 371g, 371g, 371g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 127g, 127g
6740g: naechtes Ergebnis: 6741g: links: 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 42g, 42g, 42g
6750g: naechtes Ergebnis: 6751g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 42g, 42g, 42g, 127g, 127g
6760g: links: 371g, 371g, 371g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
6770g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 127g, 127g
6780g: naechtes Ergebnis: 6784g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 42g
6790g: naechtes Ergebnis: 6793g: links: 371g, 371g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
6800g: naechtes Ergebnis: 6802g: links: 371g, 371g, 371g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 42g
6810g: naechtes Ergebnis: 6812g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 127g, 127g
6820g: naechtes Ergebnis: 6817g: links: 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g
6830g: naechtes Ergebnis: 6827g: links: 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 127g
6840g: naechtes Ergebnis: 6836g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 42g, 42g, 127g, 127g, 127g
6850g: naechtes Ergebnis: 6854g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 127g, 127g
6860g: links: 42g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g
6870g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 127g, 127g
6880g: naechtes Ergebnis: 6878g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 42g, 42g, 42g, 127g, 127g, 127g
6890g: naechtes Ergebnis: 6888g: links: 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 127g
6900g: naechtes Ergebnis: 6901g: links: 127g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 42g
6910g: naechtes Ergebnis: 6911g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 42g, 127g
6920g: links: 371g, 371g, 42g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
6930g: links: 371g, 371g, 371g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 127g
6940g: naechtes Ergebnis: 6939g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 127g, 127g, 127g
6950g: naechtes Ergebnis: 6953g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 42g, 42g, 127g
6960g: naechtes Ergebnis: 6961g: links: 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g
6970g: naechtes Ergebnis: 6971g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g
6980g: naechtes Ergebnis: 6981g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 127g, 127g, 127g
6990g: naechtes Ergebnis: 6987g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g
7000g: naechtes Ergebnis: 6997g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 127g, 127g, 127g
7010g: naechtes Ergebnis: 7013g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g
7020g: naechtes Ergebnis: 7019g: links: 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g
7030g: naechtes Ergebnis: 7029g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g
7040g: naechtes Ergebnis: 7039g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 127g, 127g, 127g
7050g: naechtes Ergebnis: 7047g: links: 371g, 371g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
7060g: naechtes Ergebnis: 7061g: links: 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g
7070g: links: 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 42g, 42g
7080g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 42g, 42g, 127g, 127g
7090g: naechtes Ergebnis: 7089g: links: 371g, 371g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
7100g: naechtes Ergebnis: 7099g: links: 371g, 371g, 371g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 127g, 127g
7110g: naechtes Ergebnis: 7112g: links: 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 42g, 42g, 42g
7120g: naechtes Ergebnis: 7122g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 42g, 42g, 42g, 127g, 127g
7130g: links: 371g, 371g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g
7140g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g, 42g, 127g
7150g: naechtes Ergebnis: 7146g: links: 42g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g
7160g: naechtes Ergebnis: 7156g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 127g
7170g: naechtes Ergebnis: 7173g: links: 371g, 371g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 42g
7180g: naechtes Ergebnis: 7183g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 127g, 127g
7190g: naechtes Ergebnis: 7188g: links: 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g
7200g: naechtes Ergebnis: 7198g: links: 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 127g
7210g: naechtes Ergebnis: 7207g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 42g, 42g, 127g, 127g, 127g
7220g: naechtes Ergebnis: 7216g: links: 371g, 371g, 42g; rechts: 2000g, 2000g, 2000g, 2000g
7230g: links: 127g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g
7240g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 127g
7250g: naechtes Ergebnis: 7249g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 42g, 42g, 42g, 127g, 127g, 127g
7260g: naechtes Ergebnis: 7259g: links: 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 2000g, 127g
7270g: naechtes Ergebnis: 7268g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 127g, 127g, 127g
7280g: naechtes Ergebnis: 7282g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 42g, 127g
7290g: links: 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 42g
7300g: links: 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g
7310g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 127g, 127g, 127g
7320g: naechtes Ergebnis: 7324g: links: /; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 42g, 42g, 127g
7330g: naechtes Ergebnis: 7332g: links: 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g
7340g: naechtes Ergebnis: 7342g: links: 371g, 371g; rechts: 2000g, 2000g, 2000g, 2000g, 42g, 42g
7350g: naechtes Ergebnis: 7351g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 2000g, 2000g
7360g: naechtes Ergebnis: 7358g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g
7370g: naechtes Ergebnis: 7368g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 127g, 127g, 127g
7380g: naechtes Ergebnis: 7376g: links: 371g, 42g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
7390g: links: 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g, 371g
7400g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 371g
7410g: links: 42g, 42g; rechts: 2000g, 2000g, 2000g, 371g, 371g, 371g, 127g, 127g, 127g
7420g: naechtes Ergebnis: 7418g: links: 371g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g, 2000g
